"anho","semana","idprovincia","Incendios","Observed","Predicted","Dicot1","Dicot2","Dicot3","Dicot4"
"2015","36","5",4,0.335,15.3625405003367,0,0,0,0
"2015","36","6",8,2.27625,22.3122799896675,0,0,0,0
"2015","36","8",0,0,0,0,0,0,0
"2015","36","9",0,0,0,0,0,0,0
"2015","36","10",12,8.30666666666667,39.0586946427024,0,0,0,0
"2015","36","11",1,0.46,17.995925361222,0,0,0,0
"2015","36","12",2,1.09,6.70453390436885,0,0,0,0
"2015","36","13",0,0,0,0,0,0,0
"2015","36","14",2,1.085,2.80429988676364,0,0,0,0
"2015","36","15",4,0.6875,4.49217089146157,0,0,0,0
"2015","36","16",1,0.3,4.54015400617705,0,0,0,0
"2015","36","17",0,0,0,0,0,0,0
"2015","36","18",2,12.985,13.5821079363597,0,0,0,0
"2015","36","19",2,0.9,2.75287417370121,0,0,0,0
"2015","36","21",2,2.7,8.578217588869,0,0,0,0
"2015","36","22",0,0,0,0,0,0,0
"2015","36","23",1,4.2,1.05239802028239,0,0,0,0
"2015","36","24",5,0.35,25.4791222706561,0,0,0,0
"2015","36","25",0,0,0,0,0,0,0
"2015","36","26",0,0,0,0,0,0,0
"2015","36","27",6,3.98333333333333,4.90760552912827,0,0,0,0
"2015","36","29",2,1.835,23.8378073411522,0,0,0,0
"2015","36","30",1,5.47,8.18814044366949,0,0,0,0
"2015","36","32",35,8.33085714285714,128.72527515311,0,1,1,1
"2015","36","33",6,3.97,6.70734656533619,0,0,0,0
"2015","36","34",3,3.78,5.75317790949622,0,0,0,0
"2015","36","36",21,0.628571428571429,66.4964568143677,0,0,0,0
"2015","36","37",6,1.19166666666667,20.3385425893236,0,0,0,0
"2015","36","40",2,1.1,0.810215546898916,0,0,0,0
"2015","36","41",1,1.25,1.3788244110175,0,0,0,0
"2015","36","42",0,0,0,0,0,0,0
"2015","36","43",1,0.83,12.1497544556065,0,0,0,0
"2015","36","44",0,0,0,0,0,0,0
"2015","36","45",5,2.578,12.9056018066854,0,0,0,0
"2015","36","46",0,0,0,0,0,0,0
"2015","36","47",0,0,0,0,0,0,0
"2015","36","49",7,13.44,316.429215510644,0,0,0,0
"2015","36","50",1,11.2,4.54955355419323,0,0,0,0
"2015","37","2",1,0.15,11.5148718403573,0,0,0,0
"2015","37","3",0,0,0,0,0,0,0
"2015","37","4",1,0.21,0.495639139763672,0,0,0,0
"2015","37","5",2,0.4,19.7006352628806,0,0,0,0
"2015","37","6",11,4.39727272727273,100.12132113088,0,0,0,1
"2015","37","8",1,0.3,0.256512283189356,0,0,0,0
"2015","37","9",2,15.565,9.28114494349478,0,0,0,0
"2015","37","10",6,5.21333333333333,37.3923736250764,0,0,0,0
"2015","37","11",0,0,0,0,0,0,0
"2015","37","12",0,0,0,0,0,0,0
"2015","37","13",3,5.25,5.99901700807956,0,0,0,0
"2015","37","14",1,1.7,3.28039132836678,0,0,0,0
"2015","37","15",4,0.2825,4.44944965769647,0,0,0,0
"2015","37","16",1,1.7,2.02270366155186,0,0,0,0
"2015","37","17",1,0.5,0.370186675868103,0,0,0,0
"2015","37","18",0,0,0,0,0,0,0
"2015","37","19",3,1.21,5.51228907317848,0,0,0,0
"2015","37","21",7,6.50428571428571,19.0578492468203,0,0,0,0
