"anho","semana","id_provincia","provincia","personal_tecnicos","personal_brigadas","personal_fuerzas_orden","personal_otros","medios_autobomba","medios_bulldozer","medios_tractores","medios_otros","aereos_aviones_anfibios","aereos_aviones_carga","aereos_helicopteros_exticion","aereos_helicopteros_transporte","total","totalar","totalnar","supernf","num_incendios","dist_1_nearest_buildup","dist_10_nearest_buildup","dir","prec","sol","tmax","tmed","tmin","velmedia","hrmedia","domain"
2007,29,18,"GRANADA",6.75,43.25,4.5,2.75,3.5,0,0,0,0.5,0.75,0.75,1.5,12.18,0,7.18,5,4,591.92,1156.5,28.18,0,13.36,32.03,24.07,16.14,3.01,32.5,"29:18"
2007,29,19,"GUADALAJARA",2.79,17.75,1.33,6.25,1.5,0,0,0.08,0,0,0.25,0.25,16.07,0.1,0.87,15.1,7,1286.55,3735.02,11.5,0,10.7,29.29,20.18,11.07,3.6,51,"29:19"
2007,29,21,"HUELVA",5.5,29.88,5.5,0.25,2.75,0,1,0.75,0,1.13,0,1.13,8.1,4.32,3.78,0,5,812.85,2000.63,29.05,0,13.1,27.65,22.02,16.38,4.26,57,"29:21"
2007,29,22,"HUESCA",1.5,12.5,2.5,7,2,0,0,0,0,0,0,0.5,1.25,0.12,1.13,0,2,398.67,1145.74,18.18,14.15,9.51,26.24,19.51,12.77,1.66,59,"29:22"
2007,29,23,"JAEN",3,27.17,3.5,1.75,1.5,0.17,0,1.17,0,0.08,0,0.67,40.21,1,20.21,19,7,1517.76,2734.03,25.02,0.55,12.5,32.05,24.73,17.42,2.25,37,"29:23"
2007,29,24,"LEON",2.67,5.33,0.67,1.33,0.33,0,0,0,0,0,0,0.67,1.02,0.1,0.92,0,3,1552.55,3132.62,25.79,2.33,9.36,19.69,13.61,7.53,3.11,63,"29:24"
2007,29,25,"LLEIDA",1.5,43.5,1,0,6,0,0,3,0,1,0.5,0,1.13,0,1.13,0,2,2394.04,4174.32,20.81,4.97,10.94,28.31,21.68,15.07,1.48,51,"29:25"
2007,29,26,"LA RIOJA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.2,8.23,27.79,21.09,14.37,2.63,54,"29:26"
2007,29,27,"LUGO",3,19,2,0,3,0,0,0,0,0,1,0,0.38,0.18,0.2,0,1,259.44,1208.97,16.33,18.8,5.34,21.04,14.84,8.69,2.63,73,"29:27"
2007,29,29,"MALAGA",6.83,56.83,3,3.5,3.5,0,0,0,0.33,0.17,0.5,1.83,50.16,12.31,37.85,0,5,1814.74,2644.34,23.24,0,12.56,31.31,25.48,19.51,3.07,46,"29:29"
